title;year;rate;country;category;director
Чарли и шоколадная фабрика;2005;7.6;США;мюзикл, фэнтези, комедия, приключения, семейный;Тим Бёртон
Круиз по джунглям;2021;6.8;США;приключения, комедия, фэнтези;Жауме Кольет-Серра
Чудо;2017;8.0;США, Гонконг, Канада;драма, семейный;Стивен Чбоски
ВАЛЛ·И;2008;8.3;США;мультфильм, фантастика, приключения, семейный;Эндрю Стэнтон
300 спартанцев;2007;7.6;США, Канада, Болгария, Австралия;боевик, драма;Зак Снайдер
Её заветное желание;2020;8.0;Япония;аниме, мультфильм, мелодрама, драма;Котаро Тамура
Одаренная;2017;7.8;США;драма;Марк Уэбб
Человек-паук: Через вселенные 2;2022;7.2;США;мультфильм, фантастика, фэнтези, боевик, комедия, приключения, семейный;Жоаким Душ Сантуш, Кемп Пауэрс, Джастин Томпсон
Петля времени;2012;7.0;США, Китай;фантастика, боевик, триллер, драма;Райан Джонсон
В диких условиях;2007;7.9;США;драма, приключения, биография;Шон Пенн
Как приручить дракона 3;2019;7.7;США, Япония;мультфильм, фэнтези, боевик, драма, мелодрама, комедия, приключения, семейный;Дин ДеБлуа
Стальной гигант;1999;8.1;США;мультфильм, фантастика, боевик, комедия, приключения, семейный;Брэд Бёрд
Я — начало;2014;7.6;США;фантастика, драма, мелодрама, детектив;Майк Кэхилл
Война миров;2005;7.1;США;фантастика, боевик, приключения;Стивен Спилберг
